open;high;low;close;volume;marketCap;timestamp
36573.1823550037;36624.3595960026;35482.1327440579;36040.9223501524;37795577489.27;685953792235.64;"2022-05-06T23:59:59.999Z"
36042.5036939934;36129.9255204253;34940.8246733344;35501.9541442019;24375896405.9;675729532873.68;"2022-05-07T23:59:59.999Z"
35502.9402038303;35502.9402038303;33878.9645692059;34059.2642505879;36763041910.24;648302121215.01;"2022-05-08T23:59:59.999Z"
34060.0154816197;34222.0733234167;30296.9534000531;30296.9534000531;63355494961.42;576716899022.88;"2022-05-09T23:59:59.999Z"
30273.654218841;32596.3078359205;29944.802737422;31022.9054122253;59811038817.27;590565398299.36;"2022-05-10T23:59:59.999Z"
31016.1827523335;32013.4014927546;28170.4130858639;28936.3550311122;70388855817.93;550870071633.8;"2022-05-11T23:59:59.999Z"
28936.7339259087;30032.4389484654;26350.4901742248;29047.7510038538;66989173272.36;553017241734.59;"2022-05-12T23:59:59.999Z"
29030.9103910716;30924.8027176216;28782.3296577337;29283.103811543;42841124537.45;557525025253.19;"2022-05-13T23:59:59.999Z"
29285.6430028713;30192.8031935087;28702.9095341841;30101.2664459848;28579868619.98;573129618194.88;"2022-05-14T23:59:59.999Z"
30098.5866261369;31308.1913582629;29527.7403707191;31305.1125686764;25835372064.61;596074575228.33;"2022-05-15T23:59:59.999Z"
31304.374144248;31305.3425986839;29251.8855581398;29862.9182412919;32613897286.17;568643328349.1;"2022-05-16T23:59:59.999Z"
29862.4081929416;30694.490950877;29570.3019001848;30425.857276796;29101473475.43;579391415566.42;"2022-05-17T23:59:59.999Z"
30424.4792225503;30618.715981161;28720.2713997454;28720.2713997454;31285268318.53;546936441379.51;"2022-05-18T23:59:59.999Z"
28720.3585631289;30430.7522309591;28708.9550418266;30314.3349534984;33773447706.67;577316228899.3;"2022-05-19T23:59:59.999Z"
30311.1193461763;30664.9763670009;28793.6060336771;29200.7400877833;30749382604.8;556131920268.79;"2022-05-20T23:59:59.999Z"
29199.8590065676;29588.8688149389;29027.3938182935;29432.2259634811;17274840441.5;560565793081.53;"2022-05-21T23:59:59.999Z"
29432.4723986064;30425.8605130009;29275.1827640655;30323.7218952694;21631532269.67;577568895835.72;"2022-05-22T23:59:59.999Z"
30309.3964800086;30590.5864837253;28975.5596093713;29098.909745734;31483454556.82;554268758109.31;"2022-05-23T23:59:59.999Z"
29101.1252943246;29774.3547202654;28786.5894517928;29655.58613284;26616506244.9;564895173841.06;"2022-05-24T23:59:59.999Z"
29653.1352936197;30157.7845345246;29384.9493491208;29562.3612655464;27525063551.25;563145244691.91;"2022-05-25T23:59:59.999Z"
29564.7765107969;29834.1592888614;28261.9057088448;29267.2246712304;36774325352.43;557547946793.11;"2022-05-26T23:59:59.999Z"
29251.1408637204;29346.9430247971;28326.6136487276;28627.5748531586;36582005748.16;545388222663.76;"2022-05-27T23:59:59.999Z"
28842.1038446105;29135.9182578598;28554.5660193876;29023.4880392653;19252320707.98;552958193308.48;"2022-05-28T23:59:59.999Z"
29019.8674141315;29498.0088389573;28841.1064887385;29445.9576239208;18093886409.16;561034743433.25;"2022-05-29T23:59:59.999Z"
29443.3657109831;31949.6316183118;29303.571633074;31726.3906858653;39277993273.94;604513442525.64;"2022-05-30T23:59:59.999Z"
31723.8651015418;32249.8639341789;31286.1543455629;31792.3099432754;33538210634.3;605797887876.49;"2022-05-31T23:59:59.999Z"
31792.5538087129;31957.2843170438;29501.5885232255;29799.0797135195;41135817340.95;567842680885.87;"2022-06-01T23:59:59.999Z"
29794.8900797802;30604.7348586759;29652.7049833489;30467.4877414342;29083562061.06;580603466872.23;"2022-06-02T23:59:59.999Z"
30467.8068396067;30633.0344757636;29375.6893020883;29704.3913570693;26175547451.56;566088081691.13;"2022-06-03T23:59:59.999Z"
29706.139572537;29930.5639469047;29500.0063498064;29832.9142253244;16588370958.43;568564420350.11;"2022-06-04T23:59:59.999Z"
29835.1181317702;30117.7434474995;29574.4495314888;29906.6617477915;17264085440.89;569996838236.88;"2022-06-05T23:59:59.999Z"
29910.2837235964;31693.2901114808;29894.1873301778;31370.6719476925;31947336828.66;597927548347.45;"2022-06-06T23:59:59.999Z"
31371.7412599943;31489.6832523575;29311.6835562575;31155.4787018498;40770974039.33;593857882016.71;"2022-06-07T23:59:59.999Z"
31151.4798946644;31253.6908607416;29944.4034808823;30214.356242025;30242059107.41;575953219487.92;"2022-06-08T23:59:59.999Z"
30215.2789745803;30609.3104880579;30020.2648432245;30111.9979224235;21692004719.49;574029141738.88;"2022-06-09T23:59:59.999Z"
30110.3295199028;30245.8086237771;28978.1470531645;29083.8047209541;29867476526.98;554455834485.63;"2022-06-10T23:59:59.999Z"
29084.666534528;29401.9162962048;28236.2119169078;28360.811358542;27246574438.64;540698499860.06;"2022-06-11T23:59:59.999Z"
28373.5142522495;28502.685070938;26762.6490379039;26762.6490379039;34163220273.81;510252464820.78;"2022-06-12T23:59:59.999Z"
26737.5776601486;26795.5898175946;22141.2575407059;22487.3879258459;68204556439.95;428759852105.36;"2022-06-13T23:59:59.999Z"
22487.9871750921;23018.9507654132;20950.8182797178;22206.7927900583;50913575242.48;423429131864.08;"2022-06-14T23:59:59.999Z"
22196.7301834792;22642.6723546281;20178.3760405906;22572.8398231902;54912007015.02;430432160005.57;"2022-06-15T23:59:59.999Z"
22576.305346187;22868.9211355563;20265.2257119101;20381.6512129024;31183975653.76;388664840556.76;"2022-06-16T23:59:59.999Z"
20385.7187101434;21243.3120420882;20326.5185645264;20471.4818924914;27132421513.81;390391528176.49;"2022-06-17T23:59:59.999Z"
20473.4249789315;20736.0410609155;17708.6237125896;19017.6423550215;42009436760.13;362685324229.12;"2022-06-18T23:59:59.999Z"
19010.9020841202;20683.821565938;18067.15191869;20553.2718217472;35329942624.94;391988917193.6;"2022-06-19T23:59:59.999Z"
20553.3702544391;20913.3219024242;19689.1695110104;20599.5379647956;30818458597.14;392888024958.72;"2022-06-20T23:59:59.999Z"
20594.2948372014;21620.62852029;20415.061882275;20710.597101739;28970212744.12;395025644879.73;"2022-06-21T23:59:59.999Z"
20719.41392721;20835.7503482133;19848.0786676282;19987.0290493797;28574793477.85;381240087223.77;"2022-06-22T23:59:59.999Z"
19986.607101581;21135.7622370547;19950.1162252256;21085.8771612422;26188097172.81;402219959760.78;"2022-06-23T23:59:59.999Z"
21084.6480617906;21472.917912877;20777.5115803289;21231.6557714446;24957784918.21;405018505024.32;"2022-06-24T23:59:59.999Z"
21233.6098714228;21520.9146376497;20964.5850076037;21502.3386880262;18372538715.34;410202265385.35;"2022-06-25T23:59:59.999Z"
21496.4947397853;21783.7247658329;21016.2688061921;21027.2953088067;18027170496.51;401157940864.2;"2022-06-26T23:59:59.999Z"
21028.2382267284;21478.0893638064;20620.1985073849;20735.4779474249;20965695707.02;395606854741.09;"2022-06-27T23:59:59.999Z"
20731.5443463851;21164.4240972544;20228.8115792347;20280.6356501458;21381535160.78;386949194397.61;"2022-06-28T23:59:59.999Z"
20281.1694611799;20364.1560967338;19937.7910783669;20104.0231777817;23552740327.93;383598071095.42;"2022-06-29T23:59:59.999Z"
20108.3123376304;20141.1603609993;18729.6562279337;19784.7264946249;26267239923.25;377526215552.49;"2022-06-30T23:59:59.999Z"
19820.4704741998;20632.671261281;19073.7084047514;19269.3666859098;30767551158.55;367709366218.78;"2022-07-01T23:59:59.999Z"
19274.8362829748;19371.7476574216;19027.0813551026;19242.255580241;18100418739.96;367208487556.97;"2022-07-02T23:59:59.999Z"
19242.0947628176;19558.2688658035;18966.9506341661;19297.0760827928;16390821947.43;368272636367.55;"2022-07-03T23:59:59.999Z"
19297.3141855828;20258.7472098173;19063.0661953686;20231.2615118026;21594638208.11;386119553712.38;"2022-07-04T23:59:59.999Z"
20225.3534364236;20635.4677410245;19341.2331538775;20190.1146695234;26715546990.31;385349780369.64;"2022-07-05T23:59:59.999Z"
20194.6194989241;20595.5296078308;19823.5112028015;20548.2458719695;24598943708.23;392200896304.73;"2022-07-06T23:59:59.999Z"
20547.8142411523;21771.8165530893;20296.1031222911;21637.5877502437;25814972520.24;413013947459.11;"2022-07-07T23:59:59.999Z"
21637.1550515826;22314.9405374086;21257.453547475;21731.1165833973;49899834488.21;414819851681.33;"2022-07-08T23:59:59.999Z"
21716.8285854815;21877.1393217129;21445.9562353204;21592.2060743303;29641127858.06;412185216767.56;"2022-07-09T23:59:59.999Z"
21591.0808021627;21591.0808021627;20727.123494758;20860.4493930623;28688807249.03;398237577323.43;"2022-07-10T23:59:59.999Z"
20856.352967685;20856.352967685;19924.5397968986;19970.556593233;24150249024.63;381264246558.41;"2022-07-11T23:59:59.999Z"
19970.4750229398;20043.4454066637;19308.5306169019;19323.914856106;25810220017.7;368936762200.6;"2022-07-12T23:59:59.999Z"
19325.9727246501;20223.0526478927;18999.953131779;20212.073498093;33042430345.48;385908229967.86;"2022-07-13T23:59:59.999Z"
20211.4659555454;20789.8936721942;19689.258743334;20569.9200615284;31158743333.4;392755738689.37;"2022-07-14T23:59:59.999Z"
20573.1562979175;21138.2433270448;20396.9991343854;20836.3286445243;25905575358.62;397861215081.44;"2022-07-15T23:59:59.999Z"
20834.104129429;21514.4033302194;20518.8987819735;21190.3156676219;24302954056.04;404639672831.08;"2022-07-16T23:59:59.999Z"
21195.0412138346;21600.6401193599;20778.1798752236;20779.3445398509;22927802082.64;396808327004.88;"2022-07-17T23:59:59.999Z"
20781.9115039967;22633.0334362237;20781.9115039967;22485.6892521761;39974475561.94;429412153274.1;"2022-07-18T23:59:59.999Z"
22467.8500961444;23666.9622537083;21683.4063763923;23389.4328464795;48765202697.15;446690803766.25;"2022-07-19T23:59:59.999Z"
23393.1920116301;24196.8192139777;23009.949763201;23231.7319651172;42932549127.33;443696738856.27;"2022-07-20T23:59:59.999Z"
23233.2019709128;23388.3221721635;22431.1493945308;23164.6287547047;33631012203.97;442435421338.91;"2022-07-21T23:59:59.999Z"
23163.7520625768;23671.9285284238;22603.4151006765;22714.9791482287;31421555645.94;433866028177.06;"2022-07-22T23:59:59.999Z"
22706.9834272109;22977.2110015504;22002.9106148295;22465.4776274248;24021799168.58;429122209145.36;"2022-07-23T23:59:59.999Z"
22465.5092660661;22974.0026721759;22306.840180485;22609.164770669;23565495302.99;431888879541.1;"2022-07-24T23:59:59.999Z"
22607.1555467717;22649.1213665683;21361.6434545441;21361.700521904;35574561406.16;408078695877.99;"2022-07-25T23:59:59.999Z"
21361.1218713035;21361.1218713035;20776.8160824806;21239.7543798251;28624673855.33;405770108604.64;"2022-07-26T23:59:59.999Z"
21244.1695591889;22986.5294030049;21070.8061258165;22930.5484457;31758955233.31;438095993233.22;"2022-07-27T23:59:59.999Z"
22933.6412489688;24110.4699196849;22722.2651232758;23843.8862077382;40212386157.74;455565748691.77;"2022-07-28T23:59:59.999Z"
23845.2123738942;24294.7864568312;23481.1731396691;23804.6332345672;35887249745.78;454837507676.2;"2022-07-29T23:59:59.999Z"
23796.8186106216;24572.5794217469;23580.5084844794;23656.2070255842;28148218300.58;452020722098.65;"2022-07-30T23:59:59.999Z"
23652.0696621219;24121.6425782597;23275.7025004507;23336.8956049843;23553591896.25;445941074223.04;"2022-07-31T23:59:59.999Z"
23336.7180518604;23464.7862772244;22890.7960211693;23314.1994325371;25849159140.74;445527356895.96;"2022-08-01T23:59:59.999Z"
23308.434172793;23415.041329171;22710.0839796372;22978.1165929475;28389250717.43;439128030641.55;"2022-08-02T23:59:59.999Z"
22981.3027057546;23578.650444504;22747.8364404392;22846.5070579755;26288169966.18;436633304289.21;"2022-08-03T23:59:59.999Z"
22848.2143845004;23198.0101072399;22485.7006555715;22630.9567321334;25120229769.19;432532599006.89;"2022-08-04T23:59:59.999Z"
22626.8333912751;23422.8276961138;22612.1785145741;23289.3142774141;28881249043.31;445137234251.88;"2022-08-05T23:59:59.999Z"
23291.4240607937;23326.561622217;22961.2789671291;22961.2789671291;15978259884.75;438890198160.7;"2022-08-06T23:59:59.999Z"
22963.5062436219;23359.0090763146;22894.5562352504;23175.8908490806;15886817042.79;443014963855.4;"2022-08-07T23:59:59.999Z"
23179.5270499854;24203.6888656304;23176.5472532816;23809.4871145188;28575544847.49;455148536623.69;"2022-08-08T23:59:59.999Z"
23811.4835215919;23898.6153695442;22981.9999273799;23164.3179862813;23555719218.86;442835162483.49;"2022-08-09T23:59:59.999Z"
23162.898849424;24127.4144160912;22771.520469829;23947.64342535;32837431721.55;457833729141.91;"2022-08-10T23:59:59.999Z"
23948.346127206;24822.629682616;23900.9968657803;23957.5301942682;37127036580.1;458043109398.07;"2022-08-11T23:59:59.999Z"
23957.2030605314;24412.5661055952;23657.2653043183;24402.8185057558;27265804687.74;466578839477.74;"2022-08-12T23:59:59.999Z"
24402.187470618;24860.0503581936;24346.1147127212;24424.0678311507;22987346288.83;467007252128.58;"2022-08-13T23:59:59.999Z"
24429.0574370816;24974.9142088493;24206.2597723946;24319.3339226;22994133555.22;465024405299.05;"2022-08-14T23:59:59.999Z"
24318.3154830385;25135.5903960686;23839.7749751036;24136.9724246641;35123501684.8;461560003436.79;"2022-08-15T23:59:59.999Z"
24126.1364825776;24228.4156115245;23733.4993295004;23883.2905467346;27753685645.65;456730745422.92;"2022-08-16T23:59:59.999Z"
23881.3155123574;24407.0579067141;23243.3544559916;23335.9982223605;30931623076.08;446283604019.97;"2022-08-17T23:59:59.999Z"
23341.0389780106;23563.8315937306;23177.6024699687;23212.7390770428;23747613147.14;443947256035.75;"2022-08-18T23:59:59.999Z"
23213.3132415999;23213.3132415999;20868.847438639;20877.5536922194;40509610259.78;399309311305.82;"2022-08-19T23:59:59.999Z"
20872.8421735014;21350.8062991651;20856.7313355791;21166.060396105;27595671000.41;404848126556.26;"2022-08-20T23:59:59.999Z"
21160.3927831764;21668.8459077384;21103.1968084256;21534.1212308142;23102307723.19;411906673576.29;"2022-08-21T23:59:59.999Z"
21531.4638488066;21531.4638488066;20939.1841727079;21398.9083503016;31666498757.58;409340103013.27;"2022-08-22T23:59:59.999Z"
21401.0456699597;21646.2037618365;20955.1381560818;21528.087371684;31878280659.1;411833237128.08;"2022-08-23T23:59:59.999Z"
21526.4555930855;21783.0757227463;21195.0066949108;21395.0200714925;31962253368.02;409308514098.09;"2022-08-24T23:59:59.999Z"
21395.4583899891;21789.6368362852;21362.4412599083;21600.9051416699;31028679593;413267825941.47;"2022-08-25T23:59:59.999Z"
21596.085314557;21804.9080080991;20199.4833838913;20260.0186494241;42326789563.56;387636192940.59;"2022-08-26T23:59:59.999Z"
20262.4803110224;20340.774563674;19890.5233282503;20041.7384530551;30116729775.56;383478483268.59;"2022-08-27T23:59:59.999Z"
20041.0348039542;20139.0542332829;19616.8149844439;19616.8149844439;24366810590.82;375367382007.85;"2022-08-28T23:59:59.999Z"
19615.1533628598;20357.4632334576;19600.7850348256;20297.9946353065;32637854077.72;388422039679.33;"2022-08-29T23:59:59.999Z"
20298.61208083;20542.644969648;19617.6409500442;19796.8094024105;34483360282.77;378850670474.32;"2022-08-30T23:59:59.999Z"
19799.5813157872;20420.9904201752;19799.5813157872;20049.7631893726;33225232872.06;383710102294.98;"2022-08-31T23:59:59.999Z"
20050.4986698419;20198.3911984996;19653.9684588823;20127.1402694309;30182031009.86;385208305831.58;"2022-09-01T23:59:59.999Z"
20126.0727809015;20401.567633276;19814.7660489836;19969.7711774602;29123998927.55;382212933183.84;"2022-09-02T23:59:59.999Z"
19969.7183469169;20037.0106485969;19698.355192333;19832.0877293385;23613051457.08;379595440556.6;"2022-09-03T23:59:59.999Z"
19832.4712955665;19999.6896450479;19636.8165736549;19986.71383922;25245861651.62;382576542382.13;"2022-09-04T23:59:59.999Z"
19988.7898184332;20031.1602515742;19673.0473387536;19812.3714787542;28813460025.44;379258182345.46;"2022-09-05T23:59:59.999Z"
19817.7240655724;20155.2687168601;18800.1716550661;18837.667712375;43403978910.41;360616650169.4;"2022-09-06T23:59:59.999Z"
18837.6833207735;19427.172670785;18644.4672270585;19290.3238735938;35239757133.88;369299496559.04;"2022-09-07T23:59:59.999Z"
19289.940569121;19417.3515932252;19076.7145234635;19329.8349334266;32194477849.95;370071738762.96;"2022-09-08T23:59:59.999Z"
19328.1399294633;21439.4093171623;19310.9625754389;21381.1528552866;48469528170.65;409363809141.16;"2022-09-09T23:59:59.999Z"
21376.9117145388;21760.2757705752;21168.7217218009;21680.539413428;36913738894.15;415117548315.38;"2022-09-10T23:59:59.999Z"
21678.5435697066;21770.5531906344;21406.9446411116;21769.2563395567;34493951963.3;416840289162.08;"2022-09-11T23:59:59.999Z"
21770.1481330587;22439.1810089793;21603.8957792787;22370.448649932;50212088965.2;428373958242.42;"2022-09-12T23:59:59.999Z"
22371.4806397841;22673.8197662856;20062.6706994888;20296.7078138753;51091116621.52;388682319976.46;"2022-09-13T23:59:59.999Z"
20184.555325165;20467.2014327824;19793.3967181663;20241.0898018307;37872380889;387631908834.78;"2022-09-14T23:59:59.999Z"
20242.2899083879;20318.1663918808;19636.7337742868;19701.2099625661;36389011503.32;377311288517.09;"2022-09-15T23:59:59.999Z"
19704.0054405263;19870.6297658167;19400.0754493035;19772.5842055678;30123362272.94;378693173324.34;"2022-09-16T23:59:59.999Z"
19777.0340283315;20162.5320217713;19777.0340283315;20127.5766571789;24957448100.3;385513277844.78;"2022-09-17T23:59:59.999Z"
20127.2339476275;20127.2339476275;19387.4913478311;19419.506190767;31254779143.63;371970445843.4;"2022-09-18T23:59:59.999Z"
19418.5714215096;19639.4797325487;18390.3187095743;19544.1292496743;40177002623.56;374373522207.39;"2022-09-19T23:59:59.999Z"
19545.5912754153;19602.4567458839;18813.4550109729;18890.7890963691;36791346508.26;361876433047.07;"2022-09-20T23:59:59.999Z"
18891.2828895318;19674.6303314785;18290.315188225;18547.3997598262;46363793974.56;355314855623.96;"2022-09-21T23:59:59.999Z"
18534.6495954773;19456.9109010622;18415.5914968551;19413.5516208219;41135767926.23;371923967755.44;"2022-09-22T23:59:59.999Z"
19412.3999254216;19464.6723483926;18617.5530098977;19297.6378400087;38896078052.07;369718966324.75;"2022-09-23T23:59:59.999Z"
19296.990703569;19310.1976076117;18861.9739989585;18937.0111756715;26149643167.68;362826506171.96;"2022-09-24T23:59:59.999Z"
18936.311515242;19134.7331942683;18696.4683038168;18802.0979756765;23359966112.45;360259346858.07;"2022-09-25T23:59:59.999Z"
18803.9006328979;19274.8734982574;18721.2858513532;19222.6721841704;44148798320.6;368335944295.86;"2022-09-26T23:59:59.999Z"
19221.8407127512;20338.4554611365;18915.6687222744;19110.5465509918;58571439618.96;366202733264.3;"2022-09-27T23:59:59.999Z"
19104.6207895026;19688.3443733361;18553.2973576077;19426.7213316789;53071298733.51;372279603227.33;"2022-09-28T23:59:59.999Z"
19427.7801905231;19589.2662114892;18924.3534530707;19573.0503140007;41037843771.3;375100872175.06;"2022-09-29T23:59:59.999Z"
19573.4314212308;20109.8503013076;19265.6623997088;19431.7894465994;43975248084.73;372414733487.45;"2022-09-30T23:59:59.999Z"
19431.1049459172;19471.1548671102;19231.0818744273;19312.0947321314;18719537669.88;370142714486.9;"2022-10-01T23:59:59.999Z"
19311.8487082258;19370.3092809335;18970.6205832529;19044.1072723711;20765955327.49;365024821953.69;"2022-10-02T23:59:59.999Z"
19044.0678498115;19653.5429529049;19025.2262854468;19623.580334556;30484729488.71;376151028151.32;"2022-10-03T23:59:59.999Z"
19623.5846894487;20380.3441825203;19523.8401239583;20336.842949206;35887278684.83;389843287588.34;"2022-10-04T23:59:59.999Z"
20335.8995793765;20343.7485202691;19801.8006612025;20160.7161716068;33223790572.36;386489739242.67;"2022-10-05T23:59:59.999Z"
20161.0384382098;20408.3918398816;19900.0885329785;19955.4436723686;34711412966.17;382574032285.78;"2022-10-06T23:59:59.999Z"
19957.5590804174;20041.0855798292;19395.7932402119;19546.8497101499;29227315390.11;374761116006.47;"2022-10-07T23:59:59.999Z"
19546.3288377398;19601.6954551175;19299.4136190281;19416.5678495233;16437423166.71;372284398575.26;"2022-10-08T23:59:59.999Z"
19417.4794111661;19542.5386535421;19349.2589533994;19446.4261941327;16837262532.25;372876821416.38;"2022-10-09T23:59:59.999Z"
19446.4162251338;19515.4672876602;19102.9792396234;19141.4835050122;27425022773.59;367049182259.43;"2022-10-10T23:59:59.999Z"
19138.9998774831;19241.9602356953;18925.6032218176;19051.4182694773;28711532910.3;365340817941.08;"2022-10-11T23:59:59.999Z"
19052.6457860076;19203.1986510517;19029.7583291291;19157.4462868525;24950173846.05;367391447229.96;"2022-10-12T23:59:59.999Z"
19156.966613327;19453.3279714913;18319.8226296141;19382.9040336331;44219840003.89;371731749298.26;"2022-10-13T23:59:59.999Z"
19382.533972178;19889.1462709754;19115.4073184994;19185.656700327;38452356726.7;367967465552.59;"2022-10-14T23:59:59.999Z"
19185.4373038114;19212.5416076166;19019.2501252192;19067.6350822884;16192235531.97;365722351004.5;"2022-10-15T23:59:59.999Z"
19068.9135599379;19389.6035200638;19068.9135599379;19268.0928008619;17988916650.36;369584293835.81;"2022-10-16T23:59:59.999Z"
19268.5621023075;19635.8022813631;19173.3347235856;19550.7572999132;27472552998.34;375024092833.74;"2022-10-17T23:59:59.999Z"
19550.466742932;19666.9950059677;19144.7701762788;19334.4151499829;30580012344.21;370891718468.24;"2022-10-18T23:59:59.999Z"
19335.0264414519;19348.4168096206;19127.6883699574;19139.5343513894;22425387183.91;367171621206.39;"2022-10-19T23:59:59.999Z"
19138.0850568701;19315.1989686457;18971.4586492749;19053.7402405368;24493974419.53;365543015077.49;"2022-10-20T23:59:59.999Z"
19053.2030456165;19237.3856061517;18770.9700605115;19172.4692172692;32459287865.69;367839754255.23;"2022-10-21T23:59:59.999Z"
19172.380608581;19248.0676722118;19132.2431934133;19208.1902460043;16104440957.47;368541303588.26;"2022-10-22T23:59:59.999Z"
19207.7346507752;19646.6515415466;19124.196964845;19567.0073980529;22128794335.13;375444263357.02;"2022-10-23T23:59:59.999Z"
19567.7695803849;19589.1245755281;19206.3243067081;19345.5723482851;30202235804.59;371211779873.32;"2022-10-24T23:59:59.999Z"
19344.964420214;20348.4115841778;19261.4471258532;20095.8564554472;47761524909.94;385624152241.56;"2022-10-25T23:59:59.999Z"
20092.2371880952;20938.1338126875;20076.1177715753;20770.4412716294;58895950537.09;398588922090.83;"2022-10-26T23:59:59.999Z"
20772.8030271027;20854.0442159331;20255.3731443355;20285.8367757017;49625110402.03;389306507854.33;"2022-10-27T23:59:59.999Z"
20287.9560947863;20724.980299643;20086.0682301131;20595.3519366012;43994715910.3;395266756395.28;"2022-10-28T23:59:59.999Z"
20595.1038419697;20988.3944704236;20566.4846167248;20818.4761644388;40369840645.23;399567972100.27;"2022-10-29T23:59:59.999Z"
20817.9822518424;20917.0062398519;20547.4634247745;20635.6037476843;31486345555.64;396075135322.21;"2022-10-30T23:59:59.999Z"
20633.6960710953;20795.3212231777;20287.4590879886;20495.7742320325;45668466815.41;393413045572.67;"2022-10-31T23:59:59.999Z"
20494.8976229392;20647.2897203577;20359.8454797164;20485.2732430903;39819303159.15;393230695987.89;"2022-11-01T23:59:59.999Z"
20482.9596937554;20742.8110110662;20087.1344836206;20159.5030671045;55552169483.42;386993271473.89;"2022-11-02T23:59:59.999Z"
